RawWord,ChangesWord,ReplacementLength,Suggestions,ChosenSuggestion
Neo,True,1,Noe | Ne | No | Nero | Ned | Neb | Nev | Leo | Geo | Ne o | Neon | Eon | One | Nee | Neck | Nph | Azo | Knee | Levo | Men | Ulo,Noe
fucktards,True,1,duckboards,duckboards
PresdientTrump,True,1,Presentiment,Presentiment
DACA,True,1,DACHA | DACE | DATA | DANA | DADA | DOCA,DACHA
DACA,True,1,DACHA | DACE | DATA | DANA | DADA | DOCA,DACHA
Lmao,True,1,Lao | Loam | Levo | Lipo | Man | Zmax,Lao
Kisii,True,1,Kiss | Ismo | Bidil | Hivid | Lasix | Visine,Kiss
NCA,True,1,CA | INCA | CAN | N CA | NA | CANCAN | NECK | NPH | DOCA | PCE,CA
thinj,True,1,think | thin | thine | thins | thing | thin j | thigh | chin,think
assisstance,True,1,assistance | assistant | resistance | Resistance | distance,assistance
brazil,False,1,Brazil | brain | uracil,Brazil
Zika,True,1,Erika | Ziac | Ziana | Zide | Zipan,Erika
amongst,True,2,among st | among-st | among | aminess | menest | congest,among st
broadcasted,True,1,broadcaster | broadcast ed | broadcast-ed | broadcast,broadcaster
liek,True,1,like | lie | leek | lies | lien | link | lick | lied | lieu | lief | lie k | lip | lidex | lips | lipo | liver | elitek,like
Im,True,1,In | I | M | I'm | Em | Ia | Am | Ir | Rm | It | Io | Om | Cm | Um | Gm | Iv,In
alot,True,2,a lot | alto | slot | alt | lot | allot | aloft | aloe | clot | plot | blot,a lot
alot,True,2,a lot | alto | slot | alt | lot | allot | aloft | aloe | clot | plot | blot,a lot
alot,True,2,a lot | alto | slot | alt | lot | allot | aloft | aloe | clot | plot | blot,a lot
dont,True,1,font | dint | don | dot | don't | done | dent | dons | dost | dona | dolt | cont | dong | wont | Mont | doxy | doca | dose | bone | foot | joint,font
lbad,True,1,lad | bad | bald | lead | load | l bad | lb ad | lb-ad,lad
HRW,True,1,HEW | HR | HRS | HAW | HOW | HR W | HIP | HMS | HURT | ARM,HEW
unsurpising,True,1,unsurprising | surprising | surplussing | insuring,unsurprising
UAE,True,1,USE | NAE | RAE | MAE | UTE | ULNAE | ULO | UREX | YAZ | BAD | DUAC | EAR | EYE | FACE | FAKE | GAS | MUSE | MALE | MAN | PCE | SAD,USE
occurence,True,1,occurrence | concurrence | recurrence | renounce,occurrence
ok,False,1,OK | och | pk | o | k | oik | oak | wok | oi | on | or | ck | om | op | oh | iv | mg | ml | ms,OK
RHONY,True,1,HORNY | PHONY | RHONE | RUNNY,HORNY
exemplarily,True,1,exemplary | exemplar,exemplary
trumph,True,1,trump | triumph | trumps | trump h | Trump | trusopt | tremor | tremin | trauma | trimpex | trimeth | trimox | trymex | tumor | lymph | cramp | cramps | prompt,trump
american,False,1,American | amerscan,American
trun,True,1,turn | tun | run | trunk | runt | true | tron | trug | t run | tral | tpn | burn | iron,turn
america,False,1,America | amerscan,America
american,False,1,American | amerscan,American
trumph,True,1,trump | triumph | trumps | trump h | Trump | trusopt | tremor | tremin | trauma | trimpex | trimeth | trimox | trymex | tumor | lymph | cramp | cramps | prompt,trump
neocons,True,1,scone | neoscan | newborns | nebcin | elocon | femcon | geodon | tencon,scone
DNC,True,1,DC | ENC | INC | DOC | DEC | DANCE | DHC,DC
Neocons,True,1,Scone | Neoscan | Newborns | Nebcin | Elocon | Femcon | Geodon | Tencon,Scone
Nosey,True,1,Noyes | Mosey | Nose | Nosy | Noses | Nosed | Nose y | Noose,Noyes
Nosey,True,1,Noyes | Mosey | Nose | Nosy | Noses | Nosed | Nose y | Noose,Noyes
familes,True,1,families | famines | fa miles | fa-miles | facsimiles | misfiles | miles | Miles | females,families
Mallika,True,1,Millikan | Mavik | Marlissa | Alli | Falmina | Gallium,Millikan
Sherawat,True,1,Sheratan | Watershed | Washer,Sheratan
favour,True,1,favor | Cavour | fabior | failure | famvir | fever | azor,favor
asistance,True,1,assistance | Resistance | resistance | distance | assistant,assistance
ebhelpful,True,1,helpful,helpful
ome,True,1,one | om | me | some | omen | tome | come | dome | home | Nome | Rome | Lome | oms | ore | ole | ogen | onmel | men | mg | ml | ms | women | amen | bone | dose | eye | fml | hms | lobe | nose,one
csll,True,1,call | cell | coll | cull | cs ll | cs-ll | chill | cold | ill | pill,call
Hong,True,1,Hon | Hmong | Song | Tong | Long | Dong | Hung | Gong | Pong | Bong | Cong | Yong | Kong | Wong | Bone | Lung,Hon
Whos,True,1,Hos | Rhos | W hos | Show | Whoa | Who | Whose | Whoso | Whops | Who's | Hows | Woos | Whom | Whop | Whys | Hms,Hos
Stroumbolopoulos,True,NA,,NA
Afganistan,True,1,Afghanistan | Satanist,Afghanistan
Isnt,True,1,Inst | Int | Isn't | Snit | Ismo | Inh | Iosat,Inst
Palmers,True,1,Palmer | Palmer's | Palmer s | Spammers | Paser | Pylera | Ulcers | Dangers | Males,Palmer
Kisii,True,1,Kiss | Ismo | Bidil | Hivid | Lasix | Visine,Kiss
canada,False,1,Canada | canasa,Canada
americans,False,1,Americans | amerscan,Americans
everyones,True,1,everyone | everyone's | every ones | every-ones | everyone s | Veronese,everyone
arguement,True,1,argument | enlargement | arrangement,argument
assumex,True,1,assume | assumes | assumed | assume x | assumptive | asmanex | alsuma | bumex,assume
Zealand,True,2,Zeal and | Zeal-and | Headland | Zevalin | Gland | Calan | Atacand | Meclan | Reglan,Zeal and
