RawWord,ChangesWord,ReplacementLength,Suggestions,ChosenSuggestion
im,True,1.0,mi | um | om | in | i | m | ism | aim | rim | dim | imp | him | vim | Tim | Kim | iv,mi
havent,True,1.0,haven | haven't | havens | ha vent | ha-vent | haven t | halaven | hive | hives | aventyl | axert | amen | alavert | flovent | faint | gamene | imagent | makena | navane | nipent | sutent,haven
noone,True,1.0,noon | none | noose | Boone | no one | no-one | noon e | nose | bone,noon
dont,True,1.0,font | dint | don | dot | don't | done | dent | dons | dost | dona | dolt | cont | dong | wont | Mont | doxy | doca | dose | bone | foot | joint,font
pouty,True,1.0,pout | pouts | potty | gouty | pout y | mouth,pout
haircute,True,1.0,haircut | haircuts | hair cute | hair-cute | haircut e | haircloth | acute,haircut
recoginze,True,1.0,recognize,recognize
im,True,1.0,mi | um | om | in | i | m | ism | aim | rim | dim | imp | him | vim | Tim | Kim | iv,mi
african,False,1.0,African | afrinol | arduan | ativan | amicar | amerscan | brian | procan | daricon | lyrica | narcan | torecan,African
america,False,1.0,America | amerscan,America
recoginize,True,1.0,recognize | recognizance | recolonize,recognize
DONT,True,1.0,FONT | DINT | DON | DOT | DON'T | DONE | DENT | DONS | DOST | DONA | DOLT | CONT | DONG | WONT | MONT | DOXY | DOCA | DOSE | BONE | FOOT | JOINT,FONT
certian,True,1.0,certain | anticancer | ceftin | cartia | cortan,certain
dont,True,1.0,font | dint | don | dot | don't | done | dent | dons | dost | dona | dolt | cont | dong | wont | Mont | doxy | doca | dose | bone | foot | joint,font
thats,True,1.0,thatch | that | tats | hats | that's | teats | chats | ghats | thaws | twats | whats | Ghats | t hats | that s | tham,thatch
i'm,False,1.0,I'm | ism | h'm | iv | ibu | ill | inh | ismo | ivy | arm,I'm
eddie,False,1.0,Eddie | eddies | eddied | Addie | ed die | ed-die | edex | edema | eye | epi | exidine | elidel | emadine | endep | errin | esgic | dire | dose | drize | zide | advil,Eddie
murphy,False,1.0,Murphy | murmur | duraphyl,Murphy
dont,True,1.0,font | dint | don | dot | don't | done | dent | dons | dost | dona | dolt | cont | dong | wont | Mont | doxy | doca | dose | bone | foot | joint,font
SLIGHTY,True,1.0,SLIGHT | SLIGHTLY | SIGHTLY | SLIGHTS | FLIGHTY | SLIGHT Y | WEIGHT,SLIGHT
certian,True,1.0,certain | anticancer | ceftin | cartia | cortan,certain
familar,True,1.0,familiar | familial | amicar | camila,familiar
remeber,True,1.0,remember | member | ember | remeron | remsed | renese | demser | temper,remember
dont,True,1.0,font | dint | don | dot | don't | done | dent | dons | dost | dona | dolt | cont | dong | wont | Mont | doxy | doca | dose | bone | foot | joint,font
ive,True,1.0,vie | ice | iv | rive | live | dive | give | hive | five | wive | eve | ave | ire | ivy | Eve,vie
